folder_name;folder_scope;file_name;file_scope;Course_file;Optional;Subfolders encouraged;Key R functions;;
configure_project;Keep number of files here to a few;configure_project_settings;Load packages, set paths, set global variables, output styles;1;;;;;
configure_project;Keep number of files here to a few;configure_report_settings;Decide which variables are dependent, independent, mediating, etc. Cluster variable, stratification variable, weights, etc. Register structured information about how the data was collected;;;;;;
configure_project;Keep number of files here to a few;configure_report_chapter_settings;Chapter by chapter rules for what to display, contain, etc;;;;;;
;;;;;;;;;
plan_design;Tasks before data collection;define_project_functions;Define functions used in this project, not from a package;11;1;;;;
plan_design;Tasks before data collection;collect_literature;Conduct literature review: document, search, retrieve, auto-code, code, diagram;;;;;;
plan_design;Tasks before data collection;plan_sample_size;Power analyses: effect study and measures by simulations;10a;1;;https://tysonbarrett.com/jekyll/update/2019/07/21/BayesianSims/;https://psych252.github.io/psych252book/power-analysis.html;https://www.imachordata.com/2016/10/18/
plan_design;Tasks before data collection;plan_costs_and_resources;Estimate costs and resources needed (budgeting, etc);10b;1;;;;
plan_design;Tasks before data collection;dag_diagram;Specify causal model and make a diagram of it;;;;;;
plan_design;Tasks before data collection;plan_instruments;Develop instruments and questionnaire, document which, modifications, link to psychometric evidence. Tidyquest;10e;;;;;
plan_design;Tasks before data collection;plan_preregister;Summarize plan_design and submit preregistration (w/worcs?);10f;1;;;;
;;;;;;;;;
prep_data;Prepare data after/during data collection;prepare_population_data;Population data from which the sampling frame is (randomly) selected. Include descriptives of how data is obtained (URL, etc). Cannot be anonymized;;;;;;
prep_data;Prepare data after/during data collection;prepare_sampling_frame;Sampling frame from which respondent list for Qualtrics is created and response rates are compared to. Cannot be anonymized;;;;;;
prep_data;Prepare data after/during data collection;prepare_survey_data;Collected survey data. Minimal processing. Cannot be anonymized.;;;;;;
prep_data;Prepare data after/during data collection;prepare_joined_full_data_for_method;Joined but minimal processing before shareable anonymized data. (worcs-package?);2;;;;;
prep_data;Prepare data after/during data collection;prepare_analysis_data;Filter away non-administered, non-reached respondents.Recode (score responses, dummies, etc);;;;;;
prep_data;Prepare data after/during data collection;prepare_publishable_data;Remaining processing to create anonymized shareable data.;;;;;;
;;;;;;;;;
describe_data;Describe data;control_data;Pre-specified checks of data;3;;;;;
describe_data;Describe data;describe_sample;Response rates, representativity given stratification, CONSORT diagrams;3;;;;;
describe_data;Describe data;plot_sample;Optional mapping of the primary sampling units (if disclosed).;3;1;;;;
describe_data;Describe data;describe_univariates;Tables and plots for frequency/percentage views of single variables.;3;;;;;
describe_data;Describe data;describe_bivariates;Tables and plots for frequency/percentage views of single variables.;3;;;;;
describe_data;Describe data;describe_missingness;In-depth investigation of missingness assumptions.;3;;;naniar, visdat;https://cran.r-project.org/web/views/MissingData.html;
;;;;;;;;;
validate_measures;Specific components of instrument validation analyses;analyze_pilots;Procedures for qualitative think-aloud protocols, early pilot data analysis;04a;1;(subfolders: single-level/clustered, full/best data, versions);;;
validate_measures;Specific components of instrument validation analyses;analyze_ctt;Classical test theory: item-total correlation, ;04a;1;;;;
validate_measures;Specific components of instrument validation analyses;analyze_efa;Exploratory factor analysis (1-f factor solutions);04a;1;;;;
validate_measures;Specific components of instrument validation analyses;analyze_cfa;CFA (2PL) models: 1 factor for all items, separate model per subscale, correlated, higher-order, bifactor, compare models, invariance, information curves, Total and Item information curves / measurement precision;04b;1;1;;;
validate_measures;Specific components of instrument validation analyses;analyze_irt;IRT (2PL) models: 1 factor for all items, separate model per subscale, correlated, higher-order, bifactor, compare models, DIF, information curves, Total and Item information curves / measurement precision;04e;1;1;;;
